Time (s),X Position (mm)
0.0,0.1552202572759232
0.01,0.0701285937074634
0.02,0.072786744205826
0.03,0.273846041550801
0.04,0.278109995328932
0.05,0.2817158219810641
0.06,0.2846423146295465
0.07,0.2868699533749168
0.08,0.0819186051532569
0.09,0.289157830332453
0.1,0.289213567446387
0.11,0.184701856479784
0.12,0.2871095345515351
0.13,0.1547206219732722
0.14,0.2821096630989055
0.15,0.1261770580175019
0.16,0.2743118977830844
0.17,0.1184502514360253
0.18,0.2639080510170708
0.19,0.0996763650657101
0.2,0.0469968831503426
0.21,0.0402965696421055
0.22,0.0330606176598022
0.23,0.0253869273810742
0.24,0.0172808981916368
0.25,0.0087418983625803
0.26,0.0
0.27,0.0
0.28,6.975205000981681e-07
0.29,0.0
0.3,0.0
0.31,0.0
0.32,0.1468604364207608
0.33,0.0
0.34,0.0
0.35000000000000003,0.0
0.36,0.1065948682254178
0.37,0.0
0.38,0.0
0.39,0.0843342005292691
0.4,0.081652070213968
0.41000000000000003,0.081524359289067
0.42,0.0815169963412002
0.43,0.0789971537823282
0.44,0.0775525155531974
0.45,0.0770686708669105
0.46,0.0777729048243244
0.47000000000000003,0.1002504382281974
0.48,0.1274905165407956
0.49,0.1556843125258726
0.5,0.1847920896818022
0.51,0.2147087617620695
0.52,0.2453570561764302
0.53,0.2766730131592022
0.54,0.3085567435199689
0.55,0.4226688825032083
0.56,0.4425542902121835
0.5700000000000001,0.4667428442174913
0.58,0.4907939374416288
0.59,0.5146131758240639
0.6,0.538099129379139
0.61,0.3877378020899514
0.62,0.3893687917504706
0.63,0.3921339600183632
0.64,0.3962712251842409
0.65,0.4036130188768551
0.66,0.4102031221908625
0.67,0.4186944626048468
0.68,0.4301164880076698
0.6900000000000001,0.4398526326054084
0.7000000000000001,0.7455398138040542
0.71,0.7567846353087695
0.72,0.7656820175387916
0.73,0.7722297906504162
0.74,0.7810150061696443
0.75,0.7889204960929989
0.76,0.7952156624365595
0.77,0.7996944567275263
0.78,0.8024913113971258
0.79,0.8036241466577678
0.8,0.8030465919779926
0.81,0.8007517577972477
0.8200000000000001,0.7967382988864204
0.8300000000000001,0.7929705772077781
0.84,1.235652415866766
0.85,1.2503276509456909
0.86,1.2464923351709762
0.87,1.2449415121647651
0.88,1.2439079757405227
0.89,1.2287174794298468
0.9,1.2332812855234612
0.91,1.2210390948696603
0.92,1.226545227449504
0.93,1.2233439576479292
0.9400000000000001,1.2163614440534116
0.9500000000000001,1.207217856822011
0.96,0.9616587424908118
0.97,1.1164506735619353
0.98,1.1887886187594254
0.99,0.9942157905709196
1.0,1.0026046397692294
1.01,1.0096894864248291
1.02,1.0154218161435058
1.03,1.0197734838777228
1.04,1.022716127885503
1.05,1.024226101086038
1.06,1.024288150676156
1.07,1.02288727293924
1.08,1.0200158896409477
1.09,1.0156960599555682
1.1,1.0099108539391983
1.11,1.0026867908871155
1.12,0.994039428155827
1.1300000000000001,0.9839971341044892
1.1400000000000001,0.9725945116203928
1.1500000000000001,0.9598703118409488
1.16,0.9458670113629064
1.17,0.9306412143139652
1.18,0.9142472821944876
1.19,0.8967483268480836
1.2,0.8782161943635388
1.21,0.8698703457226011
1.22,0.8596982035828323
1.23,0.8476551493488366
1.24,0.8342073643811379
1.25,0.8193992125548905
1.26,0.8032831287267724
1.27,0.7859259975579241
1.28,0.7673918466678151
1.29,0.7477572433063583
1.3,0.727104571106227
1.31,0.7237450526976436
1.32,0.7938452395274558
1.33,0.8611796289950131
1.34,0.9136841436912702
1.35,0.9372420945166484
1.36,0.9601575917467072
1.37,0.9823615003348638
1.3800000000000001,1.003767489630243
1.3900000000000001,1.0242956970136057
1.4000000000000001,1.043874649774098
1.41,1.0624653694372792
1.42,1.0799660634665016
1.43,1.096334752849545
1.44,1.1115076224692486
1.45,1.1297799819367316
1.46,1.1464292147266748
1.47,1.162128321364
1.48,1.1772682309646767
1.49,1.1918083763569254
1.5,1.2056731390330648
1.51,1.2188425900134312
1.52,1.231236450754427
1.53,1.2428128655658344
1.54,1.2535295124816543
1.55,1.2633413962516018
1.56,1.2802427693405174
1.57,1.304013675882831
1.58,1.3271505290507055
1.59,1.349560824134738
1.6,1.371156323462155
1.61,1.3918508820332691
1.62,1.4115753344157147
1.6300000000000001,1.430231442792444
1.6400000000000001,1.447748621562431
1.6500000000000001,1.4640614924948254
1.6600000000000001,1.481441936452191
1.67,1.5020579622686503
1.68,1.5208570170345246
1.69,1.5377453321340926
1.7,1.5592243053093626
1.71,1.5825042594374836
1.72,1.6286324961579657
1.73,1.7012174015101704
1.74,1.7714832757631611
1.75,1.839130985642789
1.76,1.903943830577007
1.77,1.9656143140170572
1.78,2.0078788680098056
1.79,2.0248589971510627
1.8,2.0402713418441176
1.81,2.0540596660870114
1.82,2.066155887730432
1.83,2.076512110675933
1.84,2.0853752190545483
1.85,2.1105170330109435
1.86,2.1317354459391264
1.87,2.148930283732256
1.8800000000000001,2.1620030411976474
1.8900000000000001,2.17090153853575
1.9000000000000001,2.175551224365622
1.9100000000000001,2.1759401677385912
1.92,2.1720229710245684
1.93,2.1638119302953247
1.94,2.151312330693084
1.95,2.1345704852292795
1.96,2.113615353863642
1.97,2.0885364198481398
1.98,2.059394906326373
1.99,2.0263229445232915
2.0,1.989418883978521
2.0100000000000002,1.948812753296448
2.02,1.933916577218612
2.0300000000000002,1.9290294863205089
2.04,1.9207255598133235
2.05,1.9090199452669472
2.06,1.893946351346086
2.07,1.8755320475425945
2.08,1.8538517948753468
2.09,1.8289691526332053
2.1,1.8009579312727564
2.11,1.7699287725500417
2.12,1.7328608617415042
2.13,1.67665595607479
2.14,1.6220350494339566
2.15,1.580215631398766
2.16,1.554744221267978
2.17,1.5321760710231975
2.18,1.5059044478683876
2.19,1.4760207460963708
2.2,1.4426401538084086
2.21,1.4078294127003677
2.22,1.368015341450667
2.23,1.3227765238091345
2.24,1.298361857699101
2.25,1.2735809115738443
2.2600000000000002,1.348121834461521
2.27,1.4109403595172887
2.2800000000000002,1.4561694158734824
2.29,1.5241224902127783
2.3000000000000003,1.582832028564943
2.31,1.607396471967821
2.32,1.6224158082572775
2.33,1.6358325933848747
2.34,1.647601488005353
2.35,1.6576663036151351
2.36,1.665982670399508
2.37,1.6725200765031794
2.38,1.677242027830801
2.39,1.6801246762596178
2.4,1.6811591126739094
2.41,1.6848270812466446
2.42,1.6975465873579323
2.43,1.7096601421917357
2.44,1.7211111759598667
2.45,1.731860419529679
2.46,1.7418709969384758
2.47,1.7511004030276751
2.48,1.7606381564034037
2.49,1.7711649392343596
2.5,1.7808062052404634
2.5100000000000002,1.7895233273389433
2.52,1.7972936334662597
2.5300000000000002,1.8040856406374888
2.54,1.8206722254586487
2.5500000000000003,1.839294899504106
2.56,1.8566668436716784
2.57,1.8848545383538629
2.58,1.913357652140144
2.59,1.9418783368168864
2.6,1.968423009014755
2.61,1.9928905278379832
2.62,2.015174453976608
2.63,2.035175918409564
2.64,2.054190019530076
2.65,2.0930221054516056
2.66,2.285842837467142
2.67,2.2787112566314267
2.68,2.2709873482024747
2.69,2.262861234100656
2.7,2.2543203657858317
2.71,2.245266661846113
2.72,2.234069650667791
2.73,2.221636248989748
2.74,2.209079678965964
2.75,2.196001425265393
2.7600000000000002,2.182968268078616
2.77,2.1697344950340334
2.7800000000000002,2.156473926803495
2.79,2.14440916467838
2.8000000000000003,2.029012177668552
2.81,2.0322483925561947
2.82,2.0386895604438138
2.83,2.043342729339943
2.84,2.0509726085547952
2.85,2.056698016951031
2.86,2.0685682578680997
2.87,2.086050059131783
2.88,2.1282321754004183
2.89,2.1936104556566467
2.9,2.242794451899341
2.91,2.291653239553002
2.92,2.340711930852982
2.93,2.394673382158127
2.94,2.4158215059253987
2.95,2.4400799627211343
2.96,2.728619810396981
2.97,2.7136722037820253
2.98,2.701625580092317
2.99,2.695985655225044
